car_count,timestamp
67,11/09/2012 15:16:58
67,11/09/2012 15:27:08
69,11/09/2012 15:29:29
69,11/09/2012 15:31:50
69,11/09/2012 15:36:32
70,11/09/2012 15:38:53
71,11/09/2012 15:43:35
70,11/09/2012 15:45:57
71,11/09/2012 15:53:00
71,11/09/2012 15:55:21
70,11/09/2012 16:02:25
71,11/09/2012 16:10:41
72,11/09/2012 16:15:24
74,11/09/2012 16:20:06
74,11/09/2012 16:24:53
74,11/09/2012 16:29:30
74,11/09/2012 16:34:18
75,11/09/2012 16:38:55
76,11/09/2012 16:43:43
75,11/09/2012 16:48:36
76,11/09/2012 16:53:18
75,11/09/2012 17:02:42
74,11/09/2012 17:07:30
75,11/09/2012 17:12:07
74,11/09/2012 17:16:54
76,11/09/2012 17:26:19
76,11/09/2012 17:31:01
75,11/09/2012 17:35:44
71,11/09/2012 17:40:27
67,11/09/2012 17:49:51
68,11/09/2012 17:54:33
68,11/09/2012 17:59:15
72,11/09/2012 18:03:58
71,11/09/2012 18:08:41
77,11/09/2012 18:13:17
91,11/09/2012 18:18:05
0,12/09/2012 06:05:16
0,12/09/2012 06:10:30
0,12/09/2012 06:15:44
1,12/09/2012 06:20:57
0,12/09/2012 06:26:11
0,12/09/2012 06:31:24
0,12/09/2012 06:36:36
0,12/09/2012 06:41:49
0,12/09/2012 06:47:02
0,12/09/2012 06:52:16
2,12/09/2012 06:57:29
4,12/09/2012 07:02:42
9,12/09/2012 07:07:55
11,12/09/2012 07:13:08
12,12/09/2012 07:18:22
16,12/09/2012 07:23:35
27,12/09/2012 07:28:48
51,12/09/2012 07:34:01
70,12/09/2012 07:39:15
82,12/09/2012 07:44:29
90,12/09/2012 07:49:42
90,12/09/2012 07:54:56
91,12/09/2012 08:00:11
92,12/09/2012 08:05:25
93,12/09/2012 08:10:40
93,12/09/2012 08:15:53
93,12/09/2012 08:21:07
93,12/09/2012 08:26:22
94,12/09/2012 08:31:36
95,12/09/2012 08:36:50
95,12/09/2012 08:42:04
95,12/09/2012 08:47:19
95,12/09/2012 08:52:34
95,12/09/2012 08:57:49
95,12/09/2012 09:03:04
95,12/09/2012 09:08:18
95,12/09/2012 09:13:32
95,12/09/2012 09:18:46
95,12/09/2012 09:24:01
95,12/09/2012 09:29:16
95,12/09/2012 09:34:30
95,12/09/2012 09:39:44
94,12/09/2012 09:44:59
93,12/09/2012 09:50:14
95,12/09/2012 09:55:29
95,12/09/2012 10:00:43
95,12/09/2012 10:05:57
95,12/09/2012 10:11:12
95,12/09/2012 10:16:27
93,12/09/2012 10:21:41
91,12/09/2012 10:26:57
91,12/09/2012 10:32:11
90,12/09/2012 10:37:26
90,12/09/2012 10:42:40
89,12/09/2012 10:47:54
89,12/09/2012 10:53:10
91,12/09/2012 10:58:24
87,12/09/2012 11:03:39
88,12/09/2012 11:08:53
86,12/09/2012 11:14:08
85,12/09/2012 11:19:23
82,12/09/2012 11:24:37
80,12/09/2012 11:29:52
79,12/09/2012 11:35:06
77,12/09/2012 11:40:19
76,12/09/2012 11:45:32
71,12/09/2012 11:50:46
71,12/09/2012 11:56:00
68,12/09/2012 12:01:14
61,12/09/2012 12:06:28
60,12/09/2012 12:11:42
56,12/09/2012 12:16:56
53,12/09/2012 12:22:10
52,12/09/2012 12:27:24
46,12/09/2012 12:32:38
45,12/09/2012 12:37:52
43,12/09/2012 12:43:06
42,12/09/2012 12:48:19
41,12/09/2012 12:53:33
37,12/09/2012 12:58:47
38,12/09/2012 13:04:01
39,12/09/2012 13:09:16
39,12/09/2012 13:14:29
40,12/09/2012 13:19:43
43,12/09/2012 13:24:58
43,12/09/2012 13:30:12
44,12/09/2012 13:35:27
45,12/09/2012 13:40:41
48,12/09/2012 13:45:56
48,12/09/2012 13:51:10
48,12/09/2012 13:56:24
49,12/09/2012 14:01:38
52,12/09/2012 14:06:53
55,12/09/2012 14:12:08
56,12/09/2012 14:17:22
57,12/09/2012 14:22:37
58,12/09/2012 14:27:51
60,12/09/2012 14:33:05
60,12/09/2012 14:38:20
63,12/09/2012 14:43:35
66,12/09/2012 14:48:49
69,12/09/2012 14:54:04
67,12/09/2012 14:59:18
67,12/09/2012 15:04:33
67,12/09/2012 15:09:47
67,12/09/2012 15:15:01
67,12/09/2012 15:20:15
67,12/09/2012 15:25:30
68,12/09/2012 15:30:44
68,12/09/2012 15:35:58
68,12/09/2012 15:41:12
67,12/09/2012 15:46:26
67,12/09/2012 15:51:40
69,12/09/2012 15:56:54
69,12/09/2012 16:02:08
68,12/09/2012 16:07:22
68,12/09/2012 16:12:35
68,12/09/2012 16:17:48
68,12/09/2012 16:23:01
66,12/09/2012 16:28:14
66,12/09/2012 16:33:28
69,12/09/2012 16:38:42
70,12/09/2012 16:43:56
69,12/09/2012 16:49:08
67,12/09/2012 16:54:22
65,12/09/2012 16:59:35
66,12/09/2012 17:04:49
66,12/09/2012 17:10:02
66,12/09/2012 17:15:15
65,12/09/2012 17:20:29
64,12/09/2012 17:25:42
63,12/09/2012 17:30:55
60,12/09/2012 17:36:08
64,12/09/2012 17:41:22
67,12/09/2012 17:46:35
67,12/09/2012 17:51:48
67,12/09/2012 17:57:02
68,12/09/2012 18:02:16
68,12/09/2012 18:07:29
71,12/09/2012 18:12:43
74,12/09/2012 18:17:58
1,13/09/2012 06:05:16
1,13/09/2012 06:10:29
1,13/09/2012 06:15:42
2,13/09/2012 06:20:56
1,13/09/2012 06:26:08
1,13/09/2012 06:31:21
1,13/09/2012 06:36:34
1,13/09/2012 06:41:47
1,13/09/2012 06:46:59
2,13/09/2012 06:52:12
3,13/09/2012 06:57:24
4,13/09/2012 07:02:37
6,13/09/2012 07:07:50
7,13/09/2012 07:13:02
8,13/09/2012 07:18:15
11,13/09/2012 07:23:29
29,13/09/2012 07:28:43
39,13/09/2012 07:33:55
49,13/09/2012 07:39:09
60,13/09/2012 07:44:23
68,13/09/2012 07:49:37
78,13/09/2012 07:54:51
89,13/09/2012 08:00:06
90,13/09/2012 08:05:23
90,13/09/2012 08:10:38
90,13/09/2012 08:15:53
90,13/09/2012 08:21:07
90,13/09/2012 08:26:21
92,13/09/2012 10:20:17
91,13/09/2012 10:25:17
93,13/09/2012 10:30:17
92,13/09/2012 10:35:18
92,13/09/2012 10:40:18
92,13/09/2012 10:45:18
89,13/09/2012 10:50:18
88,13/09/2012 10:55:18
86,13/09/2012 11:00:19
82,13/09/2012 11:05:19
78,13/09/2012 11:10:19
76,13/09/2012 11:15:19
73,13/09/2012 11:20:19
71,13/09/2012 11:25:20
68,13/09/2012 11:30:20
68,13/09/2012 11:35:20
66,13/09/2012 11:40:20
65,13/09/2012 11:45:20
63,13/09/2012 11:50:21
62,13/09/2012 11:55:21
58,13/09/2012 12:00:21
53,13/09/2012 12:05:21
48,13/09/2012 12:10:21
44,13/09/2012 12:15:22
42,13/09/2012 12:20:22
41,13/09/2012 12:25:22
38,13/09/2012 12:30:22
37,13/09/2012 12:35:22
37,13/09/2012 12:40:23
37,13/09/2012 12:45:23
35,13/09/2012 12:50:23
37,13/09/2012 12:55:23
35,13/09/2012 13:00:23
36,13/09/2012 13:05:24
37,13/09/2012 13:10:24
36,13/09/2012 13:15:24
39,13/09/2012 13:20:24
40,13/09/2012 13:25:24
41,13/09/2012 13:30:25
45,13/09/2012 13:35:25
49,13/09/2012 13:40:25
50,13/09/2012 13:45:25
51,13/09/2012 13:50:25
54,13/09/2012 13:55:26
58,13/09/2012 14:00:26
58,13/09/2012 14:05:26
60,13/09/2012 14:10:26
61,13/09/2012 14:15:27
64,13/09/2012 14:20:27
71,13/09/2012 14:25:27
71,13/09/2012 14:30:27
71,13/09/2012 14:35:27
70,13/09/2012 14:40:28
71,13/09/2012 14:45:28
73,13/09/2012 14:50:28
72,13/09/2012 14:55:28
72,13/09/2012 15:00:29
73,13/09/2012 15:05:29
73,13/09/2012 15:10:29
73,13/09/2012 15:15:29
72,13/09/2012 15:20:29
72,13/09/2012 15:25:30
73,13/09/2012 15:30:30
70,13/09/2012 15:35:30
69,13/09/2012 15:40:30
70,13/09/2012 15:45:30
70,13/09/2012 15:50:31
70,13/09/2012 15:55:31
69,13/09/2012 16:00:31
69,13/09/2012 16:05:31
69,13/09/2012 16:10:31
71,13/09/2012 16:15:32
72,13/09/2012 16:20:32
